"testdate","totaltests","positivetests","avgtestcost","avgprocessingtime","positivity_rate"
"2023-01-01","7","1","604.48","49.71","14.285714285714285"
"2023-01-02","12","2","407.30","43.75","16.666666666666664"
"2023-01-03","13","1","458.66","48.08","7.6923076923076925"
"2023-01-04","15","1","373.60","44.53","6.666666666666667"
"2023-01-05","13","0","490.53","51.85","0"
"2023-01-06","12","1","524.54","57.42","8.333333333333332"
"2023-01-07","14","2","606.65","52.64","14.285714285714285"
"2023-01-08","8","1","361.56","50.25","12.5"
"2023-01-09","13","3","606.57","53.69","23.076923076923077"
"2023-01-10","10","2","492.56","52.20","20"
"2023-01-11","8","1","261.93","70.25","12.5"
"2023-01-12","13","2","526.60","58.62","15.384615384615385"
"2023-01-13","7","3","227.26","75.86","42.857142857142854"
"2023-01-14","12","2","491.58","50.83","16.666666666666664"
"2023-01-15","20","5","514.68","56.00","25"
"2023-01-16","16","3","406.03","61.25","18.75"
"2023-01-17","10","3","476.07","60.70","30"
"2023-01-18","13","6","346.74","66.46","46.15384615384615"
"2023-01-19","13","4","436.11","61.23","30.76923076923077"
"2023-01-20","16","2","583.81","69.13","12.5"
"2023-01-21","8","4","422.11","53.88","50"
"2023-01-22","12","2","418.48","60.08","16.666666666666664"
"2023-01-23","12","2","473.56","67.42","16.666666666666664"
"2023-01-24","14","2","633.91","63.71","14.285714285714285"
"2023-01-25","14","5","555.03","54.43","35.714285714285715"
"2023-01-26","11","3","501.20","63.73","27.27272727272727"
"2023-01-27","11","1","520.80","63.36","9.090909090909092"
"2023-01-28","16","3","535.75","61.94","18.75"
"2023-01-29","14","4","326.96","70.36","28.57142857142857"
"2023-01-30","15","4","552.16","57.07","26.666666666666668"
"2023-01-31","16","3","448.56","50.81","18.75"
"2023-02-01","10","1","519.60","55.90","10"
"2023-02-02","17","3","559.12","53.35","17.647058823529413"
"2023-02-03","13","3","583.74","62.92","23.076923076923077"
"2023-02-04","16","6","399.43","63.94","37.5"
"2023-02-05","19","4","492.44","58.79","21.052631578947366"
"2023-02-06","14","4","461.39","47.93","28.57142857142857"
"2023-02-07","10","0","562.85","60.60","0"
"2023-02-08","10","1","620.85","52.50","10"
"2023-02-09","15","4","498.94","47.53","26.666666666666668"
"2023-02-10","14","3","437.57","59.21","21.428571428571427"
"2023-02-11","17","1","517.66","47.65","5.88235294117647"
"2023-02-12","20","1","523.45","58.75","5"
"2023-02-13","13","1","613.88","68.08","7.6923076923076925"
"2023-02-14","9","1","403.65","57.22","11.11111111111111"
"2023-02-15","12","3","450.42","72.58","25"
"2023-02-16","15","2","504.43","43.40","13.333333333333334"
"2023-02-17","12","3","557.38","49.17","25"
"2023-02-18","10","2","511.42","69.10","20"
"2023-02-19","17","4","495.88","53.76","23.52941176470588"
"2023-02-20","16","0","432.85","49.81","0"
"2023-02-21","18","6","602.99","72.06","33.33333333333333"
"2023-02-22","24","3","553.42","62.04","12.5"
"2023-02-23","13","1","450.59","57.38","7.6923076923076925"
"2023-02-24","16","3","404.77","69.06","18.75"
"2023-02-25","12","2","559.23","58.00","16.666666666666664"
"2023-02-26","18","4","427.30","60.06","22.22222222222222"
"2023-02-27","22","7","474.48","66.36","31.818181818181817"
"2023-02-28","20","6","631.91","64.20","30"
"2023-03-01","12","3","378.57","68.42","25"
"2023-03-02","16","4","441.27","61.25","25"
"2023-03-03","16","4","422.14","75.56","25"
"2023-03-04","14","3","557.26","56.07","21.428571428571427"
"2023-03-05","13","5","561.68","63.08","38.46153846153847"
"2023-03-06","13","2","503.88","40.54","15.384615384615385"
"2023-03-07","14","3","363.57","56.79","21.428571428571427"
"2023-03-08","11","0","564.47","58.73","0"
"2023-03-09","13","6","414.42","71.15","46.15384615384615"
"2023-03-10","11","4","503.53","56.27","36.36363636363637"
"2023-03-11","8","0","391.88","74.00","0"
"2023-03-12","17","5","504.45","59.88","29.411764705882355"
"2023-03-13","16","4","371.76","59.13","25"
"2023-03-14","14","3","453.20","71.71","21.428571428571427"
"2023-03-15","15","1","492.19","43.27","6.666666666666667"
"2023-03-16","11","2","554.12","54.09","18.181818181818183"
