"testdate","totaltests"
"2023-01-01","7"
"2023-01-02","12"
"2023-01-03","13"
"2023-01-04","15"
"2023-01-05","13"
"2023-01-06","12"
"2023-01-07","14"
"2023-01-08","8"
"2023-01-09","13"
"2023-01-10","10"
"2023-01-11","8"
"2023-01-12","13"
"2023-01-13","7"
"2023-01-14","12"
"2023-01-15","20"
"2023-01-16","16"
"2023-01-17","10"
"2023-01-18","13"
"2023-01-19","13"
"2023-01-20","16"
"2023-01-21","8"
"2023-01-22","12"
"2023-01-23","12"
"2023-01-24","14"
"2023-01-25","14"
"2023-01-26","11"
"2023-01-27","11"
"2023-01-28","16"
"2023-01-29","14"
"2023-01-30","15"
"2023-01-31","16"
"2023-02-01","10"
"2023-02-02","17"
"2023-02-03","13"
"2023-02-04","16"
"2023-02-05","19"
"2023-02-06","14"
"2023-02-07","10"
"2023-02-08","10"
"2023-02-09","15"
"2023-02-10","14"
"2023-02-11","17"
"2023-02-12","20"
"2023-02-13","13"
"2023-02-14","9"
"2023-02-15","12"
"2023-02-16","15"
"2023-02-17","12"
"2023-02-18","10"
"2023-02-19","17"
"2023-02-20","16"
"2023-02-21","18"
"2023-02-22","24"
"2023-02-23","13"
"2023-02-24","16"
"2023-02-25","12"
"2023-02-26","18"
"2023-02-27","22"
"2023-02-28","20"
"2023-03-01","12"
"2023-03-02","16"
"2023-03-03","16"
"2023-03-04","14"
"2023-03-05","13"
"2023-03-06","13"
"2023-03-07","14"
"2023-03-08","11"
"2023-03-09","13"
"2023-03-10","11"
"2023-03-11","8"
"2023-03-12","17"
"2023-03-13","16"
"2023-03-14","14"
"2023-03-15","15"
"2023-03-16","11"
"2023-03-17","11"
"2023-03-18","12"
"2023-03-19","10"
"2023-03-20","10"
"2023-03-21","16"
"2023-03-22","13"
"2023-03-23","11"
"2023-03-24","16"
"2023-03-25","15"
"2023-03-26","12"
"2023-03-27","17"
"2023-03-28","15"
"2023-03-29","6"
"2023-03-30","8"
"2023-03-31","9"
"2023-04-01","13"
"2023-04-02","15"
"2023-04-03","13"
"2023-04-04","14"
"2023-04-05","18"
"2023-04-06","7"
"2023-04-07","18"
"2023-04-08","13"
"2023-04-09","15"
"2023-04-10","12"
"2023-04-11","14"
"2023-04-12","23"
"2023-04-13","16"
"2023-04-14","10"
"2023-04-15","9"
"2023-04-16","14"
"2023-04-17","13"
"2023-04-18","18"
"2023-04-19","14"
"2023-04-20","15"
"2023-04-21","18"
"2023-04-22","15"
"2023-04-23","8"
"2023-04-24","12"
"2023-04-25","20"
"2023-04-26","20"
"2023-04-27","19"
"2023-04-28","18"
"2023-04-29","14"
"2023-04-30","18"
"2023-05-01","7"
"2023-05-02","17"
"2023-05-03","19"
"2023-05-04","9"
"2023-05-05","13"
"2023-05-06","16"
"2023-05-07","14"
"2023-05-08","13"
"2023-05-09","11"
"2023-05-10","10"
"2023-05-11","7"
"2023-05-12","15"
"2023-05-13","14"
"2023-05-14","15"
"2023-05-15","11"
"2023-05-16","15"
"2023-05-17","11"
"2023-05-18","13"
"2023-05-19","10"
"2023-05-20","8"
"2023-05-21","10"
"2023-05-22","16"
"2023-05-23","6"
"2023-05-24","15"
"2023-05-25","10"
"2023-05-26","16"
"2023-05-27","14"
"2023-05-28","18"
"2023-05-29","15"
"2023-05-30","20"
"2023-05-31","12"
"2023-06-01","17"
"2023-06-02","19"
"2023-06-03","15"
"2023-06-04","13"
"2023-06-05","15"
"2023-06-06","15"
"2023-06-07","20"
"2023-06-08","9"
"2023-06-09","13"
"2023-06-10","9"
"2023-06-11","13"
"2023-06-12","18"
"2023-06-13","7"
"2023-06-14","23"
"2023-06-15","15"
"2023-06-16","12"
"2023-06-17","9"
"2023-06-18","17"
"2023-06-19","15"
"2023-06-20","13"
"2023-06-21","13"
"2023-06-22","6"
"2023-06-23","17"
"2023-06-24","9"
"2023-06-25","16"
"2023-06-26","17"
"2023-06-27","20"
"2023-06-28","19"
"2023-06-29","20"
"2023-06-30","6"
"2023-07-01","17"
"2023-07-02","16"
"2023-07-03","17"
"2023-07-04","17"
"2023-07-05","16"
"2023-07-06","14"
"2023-07-07","18"
"2023-07-08","12"
"2023-07-09","13"
"2023-07-10","16"
"2023-07-11","11"
"2023-07-12","15"
"2023-07-13","10"
"2023-07-14","24"
"2023-07-15","12"
"2023-07-16","12"
"2023-07-17","16"
"2023-07-18","9"
"2023-07-19","18"
"2023-07-20","13"
"2023-07-21","17"
"2023-07-22","12"
